Gas,P_D_bar,Material,V_D_m3,W_g_kg,W_m_kg,W_d_kg,DeltaV_m_s,Costo_€
H2,19.21212121212121,Titanio6AL4V,0.27025258681329306,0.4222714381546125,3.5093575955389222,3.9316290336935347,167.13082425706483,117.94887101080604
H2,19.363636363636363,Al7075T6,0.2641534537324244,0.41599656191139484,4.7910232321959985,5.207019794107393,166.9944231208249,31.24211876464436
H2,19.363636363636363,Acero,0.2641534537324244,0.41599656191139484,11.636559985671777,12.052556547583173,166.2660929559826,54.23650446412428
H2,19.363636363636363,Titanio6AL4V,0.2641534537324244,0.41599656191139484,3.4572091843145296,3.8732057462259246,167.13707788049317,116.19617238677773
H2,19.515151515151512,Al7075T6,0.2583235386202543,0.409998661004448,4.721945539684414,5.131944200688863,167.0024461729606,30.791665204133174
H2,19.515151515151512,Acero,0.2583235386202543,0.409998661004448,11.468782316137412,11.87878097714186,166.28450315360135,53.45451439713837
H2,19.515151515151512,Titanio6AL4V,0.2583235386202543,0.409998661004448,3.4073626230669345,3.8173612840713824,167.14305590437672,114.52083852214147
H2,19.666666666666668,Al7075T6,0.2527454013146992,0.40425979274301815,4.655851120440442,5.06011091318346,167.0101234538762,30.36066547910076
H2,19.666666666666668,Acero,0.2527454013146992,0.40425979274301815,11.308250497155164,11.712510289898182,166.3021220849423,52.706296304541816
H2,19.666666666666668,Titanio6AL4V,0.2527454013146992,0.40425979274301815,3.3596687960559017,3.76392858879892,167.14877615458227,112.9178576639676
H2,19.81818181818182,Al7075T6,0.24740307619707716,0.3987635314679097,4.592550800509258,4.991314331977168,167.0174768447297,29.947885991863004
H2,19.81818181818182,Acero,0.24740307619707716,0.3987635314679097,11.154505058176401,11.553268589644311,166.3189996894894,51.989708653399404
H2,19.81818181818182,Titanio6AL4V,0.24740307619707716,0.3987635314679097,3.3139911950863428,3.7127547265542526,167.1542549521129,111.38264179662758
H2,19.96969696969697,Al7075T6,0.24228191957946016,0.3934948115413878,4.531871069273217,4.925365880814605,167.02452641856942,29.552195284887627
H2,19.96969696969697,Acero,0.24228191957946016,0.3934948115413878,11.007124572167156,11.400619383708543,166.33518179085036,51.302787226688444
H2,19.96969696969697,Titanio6AL4V,0.24228191957946016,0.3934948115413878,3.2702046146495745,3.6636994261909623,167.1595072686239,109.91098278572888
H2,20.12121212121212,Al7075T6,0.23736847566180735,0.38843978944194035,4.473652491200269,4.8620922806422096,167.03129062331533,29.17255368385326
H2,20.12121212121212,Acero,0.23736847566180735,0.38843978944194035,10.865721798022005,11.254161587463946,166.35071051221982,50.64372714358775
H2,20.12121212121212,Titanio6AL4V,0.23736847566180735,0.38843978944194035,3.2281940058387137,3.616633795280654,167.1645468630485,108.49901385841962
H2,20.272727272727273,Al7075T6,0.2326503584751286,0.383585722305699,4.4177483070081776,4.801334029313876,167.0377864429623,28.80800417588326
H2,20.272727272727273,Acero,0.2326503584751286,0.383585722305699,10.729940283035875,11.113526005341575,166.36562464251466,50.01086702403708
H2,20.272727272727273,Titanio6AL4V,0.2326503584751286,0.383585722305699,3.1878534669467906,3.5714391892524895,167.16938640195102,107.14317567757469
H2,20.424242424242426,Al7075T6,0.22811614762977434,0.3789208606707728,4.364023198403382,4.742944059074155,167.04402953996671,28.45766435444493
H2,20.424242424242426,Acero,0.22811614762977434,0.3789208606707728,10.599451362670136,10.978372223340909,166.37995995987777,49.40267500503409
H2,20.424242424242426,Titanio6AL4V,0.22811614762977434,0.3789208606707728,3.149085352100547,3.5280062127713196,167.174037565823,105.8401863831396
